Name,Age,Gender,Emotion,Timestamp
Unknown,35,"{'Woman': np.float32(3.0052388), 'Man': np.float32(96.99476)}",sad,2025-03-18 22:42:51
Unknown,34,"{'Woman': np.float32(1.2463807), 'Man': np.float32(98.75362)}",sad,2025-03-18 22:42:54
Unknown,34,"{'Woman': np.float32(0.6357275), 'Man': np.float32(99.364265)}",sad,2025-03-18 22:42:56
Unknown,34,"{'Woman': np.float32(0.48265737), 'Man': np.float32(99.51734)}",sad,2025-03-18 22:42:59
Unknown,34,"{'Woman': np.float32(0.6089701), 'Man': np.float32(99.39103)}",sad,2025-03-18 22:43:02
Unknown,33,"{'Woman': np.float32(0.6726817), 'Man': np.float32(99.32732)}",sad,2025-03-18 22:43:04
Unknown,33,"{'Woman': np.float32(0.47741663), 'Man': np.float32(99.522575)}",sad,2025-03-18 22:43:07
Unknown,33,"{'Woman': np.float32(0.2676428), 'Man': np.float32(99.73236)}",sad,2025-03-18 22:43:09
Unknown,33,"{'Woman': np.float32(0.65628064), 'Man': np.float32(99.34372)}",sad,2025-03-18 22:43:12
Unknown,38,"{'Woman': np.float32(2.216938), 'Man': np.float32(97.78306)}",neutral,2025-03-18 22:43:14
Unknown,37,"{'Woman': np.float32(2.626358), 'Man': np.float32(97.37365)}",sad,2025-03-18 22:43:17
Unknown,34,"{'Woman': np.float32(0.5984079), 'Man': np.float32(99.401596)}",happy,2025-03-18 22:43:19
Unknown,36,"{'Woman': np.float32(0.6793679), 'Man': np.float32(99.32064)}",angry,2025-03-18 22:43:22
Unknown,36,"{'Woman': np.float32(1.0477918), 'Man': np.float32(98.9522)}",sad,2025-03-18 22:43:24
Unknown,35,"{'Woman': np.float32(0.6878742), 'Man': np.float32(99.31212)}",sad,2025-03-18 22:43:27
Unknown,37,"{'Woman': np.float32(3.9802034), 'Man': np.float32(96.01979)}",neutral,2025-03-18 22:43:30
Unknown,29,"{'Woman': np.float32(4.59723), 'Man': np.float32(95.40277)}",neutral,2025-03-18 22:43:34
Unknown,28,"{'Woman': np.float32(1.2899891), 'Man': np.float32(98.710014)}",neutral,2025-03-25 21:16:12
Unknown,35,"{'Woman': np.float32(2.9229815), 'Man': np.float32(97.07703)}",neutral,2025-03-25 21:16:14
Unknown,30,"{'Woman': np.float32(2.5991864), 'Man': np.float32(97.40082)}",fear,2025-03-25 21:16:17
Unknown,35,"{'Woman': np.float32(6.5900683), 'Man': np.float32(93.409935)}",sad,2025-03-25 21:16:20
Unknown,33,"{'Woman': np.float32(8.356819), 'Man': np.float32(91.64318)}",sad,2025-03-25 21:16:22
Unknown,33,"{'Woman': np.float32(5.5100017), 'Man': np.float32(94.48999)}",sad,2025-03-25 21:16:25
Unknown,33,"{'Woman': np.float32(6.6141605), 'Man': np.float32(93.38584)}",sad,2025-03-25 21:16:27
Unknown,34,"{'Woman': np.float32(6.4866104), 'Man': np.float32(93.51339)}",sad,2025-03-25 21:16:30
Unknown,32,"{'Woman': np.float32(12.530598), 'Man': np.float32(87.469406)}",sad,2025-03-25 21:16:32
Unknown,33,"{'Woman': np.float32(6.5075216), 'Man': np.float32(93.49248)}",sad,2025-03-25 21:16:35
Unknown,33,"{'Woman': np.float32(2.0513046), 'Man': np.float32(97.948685)}",neutral,2025-03-25 21:16:37
Unknown,33,"{'Woman': np.float32(2.9674587), 'Man': np.float32(97.03254)}",sad,2025-03-25 21:16:40
Unknown,33,"{'Woman': np.float32(3.9877658), 'Man': np.float32(96.01224)}",neutral,2025-03-25 21:16:43
Unknown,34,"{'Woman': np.float32(5.679937), 'Man': np.float32(94.32007)}",sad,2025-03-25 21:16:45
Unknown,35,"{'Woman': np.float32(4.1722355), 'Man': np.float32(95.82777)}",neutral,2025-03-25 21:16:48
Unknown,24,"{'Woman': np.float32(0.18420202), 'Man': np.float32(99.8158)}",sad,2025-03-25 21:16:55
